Issue_Level_1_客訴故障現象,正規化,Issue_Level_2_分析看到現象,Issue_Level_2_分析看到現象_正規化,Issue_Level_7_損壞原因,Issue_Level_7_損壞原因_正規化
IO壞,I/O異常,"其他(Z軸會自動下降,更換驅動器後,正常。 )&","其他(Z軸會自動下降,更換驅動器後,正常。 )",USB端子粘膠,USB端子黏膠
"IPM PIN9,PIN10引脚粘連焊錫絲,上電報警AL006","IPM PIN9,PIN10引脚粘連焊錫絲,上電報警AL006",其他(上電不顯示),上電後異常,UVW上橋open VW下橋擊穿，DR58炸,"UVW上橋OPEN VW下橋擊穿,DR58炸裂"
"IPM裂痕,DR58 DR57 DC64燒毀","IPM裂痕,DR58,DR57,DC64燒毀",其他(上電不顯示)&,上電後異常,UV對PN擊穿，PR擊穿，DR58炸,"UV對PN擊穿,PR擊穿,DR58炸"
,,其他(上電沒反應),上電後異常,U上橋擊穿，UW下橋open，DR58炸,"U上橋擊穿,UW下橋OPEN,DR58炸"
,,其他(上電沒反應)&,上電後異常,U相上橋短路,U端子_上橋短路
,,其他(上電沒顯示)&,上電後異常,U相端子螺絲受外力損壞,U端子_螺絲損壞
,,其他(上電面板不亮),上電後異常,U相端子螺絲損壞,U端子_螺絲損壞
,,其他(上電報AL086)&,AL086,U對P擊穿,U對P擊穿
,,其他(上電報過電流),上電後異常,V_BUS電壓顯示异常,V_BUS電壓顯示異常
,,其他(上電無反應 )&,上電後異常,varistor打火，整流子擊穿，IGBT損壞,"varistor打火,整流子擊穿,IGBT損壞"
,,其他(上電無響應),上電後異常,VARISTOR打火，整流子擊穿，IGBT損壞，DR58燒壞，DR28軟啓燒，按鍵壞，USB端子壞,"VARISTOR打火,整流子擊穿,IGBT損壞,DR58燒毀,DR28軟啓燒,按鍵壞,USB端子壞"
,,其他(上電無顯示 )&,上電後異常,VARISTOR炸,VARISTOR炸裂
,,其他(上電無顯示(還回條碼和申請條碼不一致）)&,上電後異常,VARISTOR炸，,VARISTOR炸裂
,,其他(上電無顯示),上電後異常,VARISTOR炸，DR28燒壞，DC52鼓包，DC3鼓包,"VARISTOR炸裂,DR28燒壞,DC52鼓包,DC3鼓包"
,,其他(上電無顯示)&,上電後異常,V-BUS電壓異常為12V,V-BUS電壓異常為12V
,,"其他(上電運行過程報AL003,換一台驅動器就好了)",AL003,V上橋控制與GD擊穿,V上橋控制與GD擊穿
,,其他(上電顯示ASD-3),上電後異常,V相上橋短路,V端子_上橋SHORT
,,其他(內部燒壞)&,其他(內部燒壞),V相端子螺絲損壞,V端子_螺絲損壞
,,其他(丟步和偏位（經常不在焊接的位置上）)&,其他(丟步和偏位（經常不在焊接的位置上）),V對P特性short,V對P特性SHORT
,,"其他(全新,來料不良（少紐扣帽）)","其他(全新,來料不良（少紐扣帽）)",V對P擊穿,V對P擊穿
,,其他(有個按鍵不起作用),其他(有個按鍵不起作用),W相上橋短路,W端子_上橋SHORT
,,其他(有顆螺絲擰不進去)&,螺絲滑牙,W相端子滑牙，UW相端子附近塑膠外力損壞,"W端子_螺絲滑牙,UW相端子附近塑膠外力損壞"
,,其他(伺服黑屏),其他(伺服黑屏),W相端子過熱燒壞,W端子_過熱燒壞
,,其他(伺服電機往復運動電機位置會跑偏掉),其他(伺服電機往復運動電機位置會跑偏掉),W相端子螺絲損壞,W端子_螺絲損壞
,,"其他(伺服電機往復運動電機位置會跑偏掉,換台驅動器就好了)&","其他(伺服電機往復運動電機位置會跑偏掉,換台驅動器就好了)",W相螺絲卡死,W端子_螺絲卡死
,,其他(低電壓報警)&,其他(低電壓報警),W相螺絲損壞,W端子_螺絲損壞
,,"其他(告警06,無輸出)",AL006,W相螺絲盤頭十字紋損壞，螺絲無法擰下來,"W端子_螺絲盤頭十字紋損壞,螺絲無法擰下來"
,,其他(批次問題。),其他(批次問題),W相螺絲斷,W端子_螺絲斷裂
,,其他(周轉機還回),其他(周轉機還回),W對P特性short,W對P特性SHORT
,,其他(周轉機還回)&,其他(周轉機還回),W對P擊穿,W對P擊穿
,,其他(抵消原故障機返回)&,其他(抵消原故障機返回),X1起振異常,X1起振異常
,,其他(拆了UVW還報AL006)&,AL006,X2腐蝕不起振,X2腐蝕不起振
,,其他(服務機未使用),其他(服務機未使用),X2震動异常,X2震動異常
,,其他(服務還機),其他(服務還機),X'TAL不起振,X'TAL無法起振
,,其他(欣巴反退（炸機）),其他(欣巴返退炸機),X'TAL無法起振DSP無法作動,X'TAL無法起振DSP無法作動
,,其他(欣巴批次退回-炸。),其他(欣巴返退炸機),ZD614穩壓管擊穿,ZD614穩壓管擊穿
,,其他(欣巴物流炸機),其他(欣巴返退炸機),ZD615和ZD7擊穿,"ZD615,ZD7擊穿"
,,其他(欣巴物流炸機)&,其他(欣巴返退炸機),人工插歪,人工插歪
,,其他(欣巴返退炸機),其他(欣巴返退炸機),上電AL01,上電AL001
,,其他(欣巴返退炸機)&,其他(欣巴返退炸機),上電一段時間後無顯示,上電無顯示
,,其他(欣巴炸機),其他(欣巴返退炸機),上電不顯示,上電無顯示
,,其他(欣巴炸機)&,其他(欣巴返退炸機),上電面板不亮,上電無顯示
,,其他(客戶反映螺絲擰不緊 )&,螺絲滑牙,上電報警AL006,上電報警AL006
,,其他(客戶現場批量出現報警 )&,其他(客戶現場批量出現報警),上電報警AL011,上電報警AL011
,,"其他(按鈕掉了,品質問題)","其他(按鈕掉了,品質問題)",上電報警AL09C,上電報警AL09C
,,其他(按鍵無效。)&,其他(按鍵無效),上電無顯示,上電無顯示
,,其他(按鍵壞)&,其他(按鍵無效),上電無顯示，DSP有呲呲的異響,"上電無顯示,DSP有呲呲的異響"
,,其他(故障 )&,其他(故障),上電無顯示，可連接ASDA-SOFT，可讀取參數但顯示密碼保護已開啓，韌體版本等參數無法顯示,"上電無顯示,可連接ASDA-SOFT,可讀取參數但顯示密碼保護已開啓,韌體版本等參數無法顯示"
,,其他(故障現象：  新機上電報555),上電後異常,上電跳閘,上電跳閘
,,其他(故障現象：黑屏),其他(故障現象:黑屏),上電顯示正常，帶動馬達轉動正常,"上電顯示正常,帶動馬達轉動正常"
,,其他(炸機（欣巴）,其他(欣巴返退炸機),上電顯示正常，帶動馬達轉動正常，報警AL3CF為參數設置問題,"上電顯示正常,帶動馬達轉動正常,報警AL3CF為參數設置問題"
,,其他(炸機（欣巴批量返回）),其他(欣巴返退炸機),"上電顯示正常,整流子處有配線線頭","上電顯示正常,整流子處有配線線頭"
,,其他(脉衝點壞了)&,其他(脉衝點壞了),上蓋損壞,上蓋損壞
,,其他(面板上的按鍵有1個壞了),其他(面板上的按鍵有1個壞了),上蓋撞斷,上蓋撞斷
,,其他(面板不顯示),其他(面板顯示故障),大電容鼓包,大電容鼓包
,,其他(面板沒有顯示)&,其他(面板顯示故障),不確定,不確定
,,其他(面板顯示不全),其他(面板顯示故障),內部PCB電鍍蝕刻清洗不確實氯殘留,內部PCB電鍍蝕刻清洗不確實氯殘留
,,其他(面板顯示故障)&,其他(面板顯示故障),內部進水腐蝕,內部進水腐蝕
,,"其他(停機時,設備在慢慢轉)","其他(停機時,設備在慢慢轉)",內部進水腐蝕，剎車晶體DQ2擊穿，回生電阻燒,"內部進水腐蝕,剎車晶體DQ2擊穿,回生電阻燒"
,,其他(接口接觸不良),其他(接口接觸不良),內部腐蝕嚴重,內部進水腐蝕
,,其他(通訊不上),其他(通訊不良),內部鐵粉污染,內部鐵粉污染
,,其他(通訊不良),其他(通訊不良),內部鐵粉污染，DT1打火,"內部鐵粉污染,DT1打火"
,,其他(通訊不良)&,其他(通訊不良),內部鐵粉污染嚴重，DZD8被客戶自行拆除，DQ2擊穿，回聲電阻阻值變大,"內部鐵粉污染,DZD8被客戶自行拆除,DQ2擊穿,回聲電阻阻值變大"
,,其他(通訊异常(按SHIFT 3E3)),其他(通訊異常(按SHIFT 3E3)),反向阻抗低，漏電流過大,"反向阻抗低,漏電流過大"
,,其他(通訊异常),其他(通訊不良),手焊時錫渣掉落IGBT脚位短路,手焊時錫渣掉落IGBT脚位短路
,,"其他(連上電源沒顯示,燒壞了)",上電後異常,主電路異常,主電路異常
,,其他(備機原機還回)&,其他(備機原機還回),功能正常,功能正常
,,其他(報001)&,AL001,功能正常，AL3CF為參數設置問題,"功能正常,AL3CF為參數設置問題"
,,"其他(報011（我司刷韌體時發現,一上電就報011）,品質問題)&",AL011,功能正常，銘板有摔傷。,"功能正常,銘板有摔傷。"
,,其他(報022),AL022,功能正常、通訊正常,"功能正常,通訊正常"
,,其他(報09F),AL09F,可能客戶UVW交流入力,可能客戶UVW交流入力
,,其他(報AL001)&,AL001,右側數碼管不亮,右側數碼管不亮
,,其他(報警)&,其他(報警),外力損壞,外力損壞
,,其他(報警001 )&,AL001,外部接線異常,外部接線異常
,,其他(報警006 )&,AL006,"外部溫度過高導致伺服報警AL016,CASE熱融。","外部溫度過高導致伺服報警AL016,CASE熱融。"
,,其他(報警086),AL086,外部端子損壞,外部端子損壞
,,其他(無法使用 )&,其他(無法使用),外殼混料,外殼混料
,,其他(無法連接),其他(通訊異常),外殼燒熔,外殼燒熔
,,其他(無通訊),其他(通訊異常),未知,未知
,,其他(無顯示),其他(面板顯示故障),未能重現异常,未能重現異常
,,其他(發脉衝無法反轉)&,其他(發脉衝無法反轉,未能重現故障,未能重現異常
,,其他(短路 )&,其他(SHORT),正常,正常
,,其他(短路),其他(SHORT),回升電阻發熱,回生電阻發熱
,,其他(黑屏),其他(面板顯示故障),回生設定异常,回生設定異常
,,其他(黑屏)&,其他(面板顯示故障),回生電阻open,回生電阻OPEN
,,其他(新柍拆開後發現少了一個按紐),其他(新柍拆開後發現少了一個按紐),回生電阻燒,回生電阻燒毀
,,"其他(新機,客戶打開包裝後自機器本體內掉出螺絲)","其他(新機,客戶打開包裝後自機器本體內掉出螺絲)",异物污染,異物污染
,,其他(新機驅動器丅的位置螺絲滑牙申請發服務機)&,其他(新機驅動器T的位置螺絲滑牙申請發服務機),异物污染，X'TAL無法起振DSP無法作動,"異物污染,X'TAL無法起振DSP無法作動"
,,其他(滑絲),螺絲滑牙,异物掉落在排PIN上,異物掉落在排PIN上
,,其他(過載al009),AL009,"有污染腐蝕，DQ2短路，回生電阻OPEN,U33短路，DR4炸","有污染腐蝕,DQ2短路,回生電阻OPEN,U33短路,DR4炸"
,,其他(電容鼓包)&,其他(電容鼓包),污染,異物污染
,,其他(網口异常),其他(網口異常),自行維修,自行維修
,,"其他(數碼管偶爾不亮,不亮時無法連綫和控制 )&","其他(數碼管偶爾不亮,不亮時無法連綫和控制)",伺服上電顯示正常,伺服上電顯示正常
,,其他(數顯屏無顯示),其他(面板顯示故障),伺服功能正常,伺服功能正常
,,其他(模塊壞,其他(模塊壞),伺服功能正常，但是有過壓記錄,"伺服功能正常,但是有過壓記錄"
,,其他(模塊壞),其他(模塊壞),伺服死機,伺服死機
,,其他(模塊壞)&,其他(模塊壞),伺服串聯下一台伺服失敗,伺服串聯下一台伺服失敗
,,其他(機子不能複位),其他(機子不能複位),伺服重啟,伺服重啟
,,其他(輸出壞),其他(輸出壞),伺服報過載AL006,伺服報過載AL006
,,其他(聯得黑屏賠償周轉機有劃痕)&,其他(聯得黑屏賠償周轉機有劃痕),伺服無法工作,伺服無法工作
,,其他(螺絲滑牙)&,螺絲滑牙,伺服檢測正常,伺服功能正常
,,其他(還回條碼不一致)&,其他(還回條碼不一致),低速卡頓,低速卡頓
,,其他(驅動器上電使能報警AL022),其他(驅動器上電使能報警AL022),攻牙問題,攻牙問題
,,其他(驅動器不能設置原點),其他(驅動器不能設置原點),使能報AL003,AL003
,,其他(驅動器無方向),其他(驅動器無方向),使能報警AL031,AL031
,,其他(驅動器顯示屏不穩定),其他(驅動器顯示屏不穩定),刷A測B,刷A測B
,,其他(顯示面板亂跳),其他(顯示面板亂跳),刹車晶體DQ2燒壞， 軟啓電阻DR28 open,"刹車晶體DQ2燒壞, 軟啓電阻DR28 OPEN"
,,其他(顯示缺碼),其他(顯示缺碼),刹車模組損壞,刹車模組損壞
,,其它,其它,拆機檢查發現J6端子組裝單邊高蹺，製程問題,"拆機檢查發現J6端子組裝單邊高蹺,製程問題"
,,初上電面板就呈現死機狀態,初上電面板就呈現死機狀態,服務用機未使用退回,服務用機未使用退回
,,制動晶體壞,制動晶體壞,杭州正宇科技有限公司,杭州正宇科技有限公司
,,制動電阻有問題,制動電阻異常,板子燒毀,板子燒毀
,,制動電阻壞,制動電阻異常,金屬絲污染，整流子打火,"金屬絲污染,整流子打火"
,,制動燒壞,制動電阻異常,保留參數和只讀參數無法寫入,保留參數和只讀參數無法寫入
,,刷A測B,刷A測B,剎車晶體DQ2擊穿，回生電阻燒,"剎車晶體DQ2擊穿,回生電阻燒"
,,刹車打不開,刹車打不開,客戶更新韌體失敗,客戶更新韌體失敗
,,刹車有問題,刹車異常,屏幕不顯示,屏幕不顯示
,,刹車問題,刹車異常,待材料分析,待材料分析
,,"刹車晶體DQ2擊穿,回生電阻損壞,DD15炸,DC96炸","刹車晶體DQ2擊穿,回生電阻損壞,DD15炸,DC96炸",按shift鍵會造成EtherCAT通訊錯誤,按SHIFT鍵會造成EtherCAT通訊錯誤
,,"刹車晶體打火燒壞,內部有少量金屬粉","刹車晶體打火燒壞,內部有少量金屬粉",按鍵保護蓋遺失，按鍵損壞,"按鍵保護蓋遺失,按鍵損壞"
,,刹車晶體折脚方式异常,刹車晶體折脚方式异常,按鍵脫落,按鍵脫落
,,"刹車晶體炸裂,PIN脚打火,整流子DD21擊穿","刹車晶體炸裂,PIN脚打火,整流子DD21擊穿",按鍵損壞,按鍵損毀
,,"刹車晶體擊穿,回生電阻open","刹車晶體擊穿,回生電阻open",按鍵鍵斷,按鍵鍵斷
,,刹車壞,刹車異常,按鍵斷,按鍵鍵斷
,,周轉機外觀瑕疵,周轉機外觀瑕疵,炸機,炸機
,,周轉機沒換還回,周轉機原機還回,炸機嚴重,炸機
,,周轉機原機還回,周轉機原機還回,面板不亮,面板不顯示
,,周轉機控制板被維修非元件燒壞,周轉機控制板被維修非元件燒壞,面板不顯示,面板不顯示
,,底角壞的,底角壞的,面板顯示异常,面板顯示異常
,,所有按鍵斷,所有按鍵斷,面板顯示亂碼,面板顯示亂碼
,,抵消原故障機,抵消原故障機,風扇後蓋CASE卡扣脫出,風扇後蓋CASE卡扣脫出
,,"拆機檢查DC BUS CAP DC82,DC83,DC84電容微鼓包 ,DC3電容鼓包","拆機檢查DC BUS CAP DC82,DC83,DC84電容微鼓包 ,DC3電容鼓包",風扇異響,風扇異響
,,服務用機未使用退回,服務用機未使用退回,原因不明,原因不明
,,服務機未使用歸還,服務機未使用歸還,案件蓋銘板用錯料,案件蓋銘板用錯料
,,"油污,IGBT及DR58損壞","油污污染,IGBT及DR58損壞",粉塵污染,粉塵污染
,,油污污染,油污污染,粉塵污染導致DQ2炸，DD23擊穿，DD15炸，DJ4跳火，回生電阻OPEN,"粉塵污染導致DQ2炸,DD23擊穿,DD15炸,DJ4跳火,回生電阻OPEN"
,,"直接給控制板上電,面板無顯示,無法連接ASDA_soft","直接給控制板上電,面板無顯示,無法連接ASDA_soft",脈衝輸入異常,脈衝輸入異常
,,金屬污染,金屬屑污染,逆變短路,逆變SHORT
,,金屬屑污染,金屬屑污染,逆變模塊U/W對P短路,逆變模塊U/W對P SHORT
,,"金屬屑污染,DR28燒,IGBT上橋U相CE擊穿","金屬屑污染,DR28燒,IGBT上橋U相CE擊穿",針脚無歪斜，通訊正常,"針脚無歪斜,通訊正常"
,,"金屬屑進入,IGBT擊穿","金屬屑污染,IGBT擊穿",高壓測試,高壓測試
,,"金屬屑進入,整流子擊穿","金屬屑污染,整流子擊穿",偶發性無顯示,偶爾無顯示
,,金屬絲,金屬屑污染,偶爾無顯示,偶爾無顯示
,,長時間通訊可重現客戶故障,長時間通訊可重現客戶故障,參數異常,參數設置異常
,,非品質問題,非品質問題,參數設定錯誤,參數設置異常
,,信號不亮,信號不亮,參數設置异常,參數設置異常
,,"冒水,檢測維修","冒水,檢測維修",堵轉,堵轉
,,"冒火花,燒了","冒火花,燒毀",帶馬達長時間運轉正常,帶馬達運轉正常
,,冒烟,冒烟,帶馬達運轉正常,帶馬達運轉正常
,,"冒烟,報警,檢測維修","冒烟,報警,檢測維修",帶馬達運轉正常，按鍵丟失,"帶馬達運轉正常,按鍵丟失"
,,"冒烟,短路,跳閘","冒烟,短路,跳閘","帶馬達運轉正常,監控命令位置PUU與回授位置PUU一致","帶馬達運轉正常,監控命令位置PUU與回授位置PUU一致"
,,"剎車DQ2損壞,剎車電阻開路","剎車晶體DQ2擊穿,剎車電阻OPEN",帶馬達運轉正常，與CNC通訊正常,"帶馬達運轉正常,與CNC通訊正常"
,,"剎車信號問題,電機發熱,過載","剎車信號問題,電機發熱,過載","帶馬達運轉正常,與PLC通訊正常","帶馬達運轉正常,與PLC通訊正常"
,,剎車參數設定异常、DQ2擊穿、內置回生電阻燒,剎車參數設定异常、DQ2擊穿、內置回生電阻燒,帶載運行正常,帶馬達運轉正常
,,"剎車晶體DQ2擊穿,回生電阻open","剎車晶體DQ2擊穿,回生電阻OPEN",帶電機運行正常,帶電機運行正常
,,"剎車晶體擊穿,回生電阻open","剎車晶體DQ2擊穿,回生電阻OPEN",接地螺絲擰不緊,接地螺絲_螺絲滑牙
,,剎車電阻出現發熱現象,剎車電阻出現發熱現象,接綫端子DTB1包焊,接線端子DTB1包焊
,,剎車電阻開路,剎車電阻OPEN,接綫端子L1、U相包焊,"接線端子L1,U相包焊"
,,剎車電阻壞,剎車電阻壞,接綫端子P、R、T相漏焊,"接線端子P,R,T相漏焊"
,,"客戶反映現場使用异常報警06,同樣參數換一台就不報",AL006,接綫端子S螺絲滑牙,接線端子S螺絲滑牙
,,客戶反映報警06,AL006,接綫端子打火,接線端子打火
,,客戶反映燒了,客戶反映燒毀,接綫錯誤,接線錯誤
,,客戶反映驅動器反饋問題,客戶反映驅動器反饋問題,控制板CN2處折斷,控制板CN2處折斷
,,"客戶反映顯示故障,幫檢測,謝謝！",客戶反映顯示故障,控制板多處炸機，U1、U5、U6、U7、U8、U15、U18、U33、L1、D13等損壞,"控制板多處炸機,U1,U5,U6,U7,U8,U15,U18,U33,L1,D13等損壞"
,,"客戶反應UVW端有問題,煩請幫全面檢測,謝謝！",客戶反應UVW端有問題,控制板有明顯維修痕迹,控制板有明顯維修痕迹
,,客戶反應輸出扭力不够,客戶反應輸出扭力不够,控制電上電，讀取不到ID,"控制電上電,讀取不到ID"
,,客戶自行維修更換過元件,客戶自行維修拆除元件,清理膠後故障消失,清理膠後故障消失
,,客戶自行維修拆除元件,客戶自行維修拆除元件,焊錫問題,焊錫問題
,,"客戶更新軔體未做P2-08=30,28","客戶更新軔體未做P2-08=30,28",產品帶馬達使能，伺服並無的異響，距離產品10cm以內，能聽相對微弱電磁聲音,"產品帶馬達使能,伺服並無的異響,距離產品10cm以內,能聽相對微弱電磁聲音"
,,客戶參數設定異常,客戶參數設定異常,產品帶馬達運轉正常,帶馬達運轉正常
,,"客戶參數設定異常P1-44=1536000,P1-45=92","客戶參數設定異常P1-44=1536000,P1-45=92",產品檢測正常,產品檢測正常
,,"客戶參數設定異常P1-44=26214400,P1-45=908","客戶參數設定異常P1-44=26214400,P1-45=908",産品帶馬達運轉正常,帶馬達運轉正常
,,客戶提供故障不明確,客戶提供故障不明確,異物,異物
,,客戶等不急自己購買新機未用上周轉,客戶自行購買新機未用上周轉,軟起電阻DR28燒，DR42炸，IGBT炸，整流子DD22、DD23擊穿,"軟起電阻DR28燒毀,DR42炸裂,IGBT炸,整流子DD22,DD23擊穿"
,,客戶端高速運行報03,客戶端高速運行報AL003,軟起電阻DR28燒壞，IGBT炸,"軟起電阻DR28燒毀,IGBT炸裂"
,,"客戶誤報修,服務用機未使用退回","客戶誤報修,服務用機未使用退回",軟起電阻DR28燒壞，回聲電阻Open，銅箔燒壞,"軟起電阻DR28燒毀,回聲電阻OPEN,銅箔燒毀"
,,"客戶誤報修,非DSP黑屏範圍內産品","客戶誤報修,非DSP黑屏範圍內産品",軟起電阻炸,軟起電阻炸裂
,,客責-R螺絲應力痕跡明顯,客戶責任-R螺絲應力痕跡明顯,軟起電阻燒,軟起電阻燒毀
,,客報故障,客訴故障,軟起電阻燒，IGBT炸,"軟起電阻燒毀,IGBT炸裂"
,,客訴cn1异常,客訴CN1異常,軟起電阻燒壞,軟起電阻燒毀
,,"客訴故障：短路   檢查結果：上電無顯示,內部發紅燒毀,未跳閘","客訴故障：短路   檢查結果：上電無顯示,內部發紅燒毀,未跳閘",軟起燒,軟起燒毀
,,"客訴故障：短路   檢查結果：上電無顯示,內部繼電器未跳動","客訴故障：短路   檢查結果：上電無顯示,內部繼電器未跳動",軟啟電阻DR28燒壞，DC83側邊鼓包,"軟啟電阻DR28燒毀,DC83側邊鼓包"
,,屏幕不亮,屏幕無顯示,通訊半小時報AL185,通訊半小時報AL185
,,屏幕不顯示,屏幕無顯示,通訊正常,通訊正常
